name,institution,fullInstitution
"Orfelinda Torres Rivera","SEDEQ","Secretaría de Educación del Estado de Querétaro"
"Jacinto E. Quintana Landaverde","SEDEQ","Secretaría de Educación del Estado de Querétaro"
"Dora Lilia López Ángeles","UTSJR","Universidad Tecnológica de San Juan del Río"
"Maribel Leyva Gaxiola","UTC","Universidad Tecnológica de Corregidora"
"José Gonzalo Lugo Pérez","UTEQ","Universidad Tecnológica de Querétaro"
"Jorge Ramiro Alvarado De la Vega","UTEQ","Universidad Tecnológica de Querétaro"
"Christian Cardenas Jaramillo","UNAQ","Universidad Aeronáutica en Querétaro"
"Juan Manuel Hernández Rivera","UPSRJ","Universidad Politécnica de Santa Rosa Jauregui"
"Ana Laura Lira Cortes","UPQ","Universidad Politécnica de Querétaro"
"Carlos Alberto Olmos Trejo","UAQ","Universidad Autónoma de Querétaro. Facultad de Informática"
"Hugo Rodríguez Reséndiz","UAQ","Universidad Autónoma de Querétaro. Facultad de Ingeniería"
"Victor Alejandro González Huitron","TECNM-QRO","Tecnológico Nacional de México Campus Querétaro"
"Isabel Ernestina López Navarro","TECNM-SJR","Tecnológico Nacional de México Campus San Juan del Río"
"Luz Elena Montes Solís","UVM","Universidad del Valle de México. Campus Querétaro"
